"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/LogoPSG/LogoPSG.jsx", "JavaScript JSX", 0, 8, 0, 0, 2, 10
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/MenuLinks/MenuLinks.jsx", "JavaScript JSX", 0, 108, 0, 4, 13, 125
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/Modals/ModalButtons.jsx", "JavaScript JSX", 0, 41, 0, 1, 4, 46
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/Modals/ModalTemplate.jsx", "JavaScript JSX", 0, 45, 0, 0, 4, 49
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/NavLinks/NavLinks.css", "CSS", 0, 0, 24, 0, 5, 29
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/NavLinks/NavLinks.jsx", "JavaScript JSX", 0, 128, 0, 18, 10, 156
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/NewTaskModal/NewTaskModal.jsx", "JavaScript JSX", 0, 291, 0, 51, 30, 372
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/NewTaskModal/SearchableSelect.jsx", "JavaScript JSX", 0, 69, 0, 29, 7, 105
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/NoDetailsCard/NoDetailsCard.jsx", "JavaScript JSX", 0, 20, 0, 0, 2, 22
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/NotesDisplay/NotesDisplay.css", "CSS", 0, 0, 50, 6, 11, 67
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/NotesDisplay/NotesDisplay.jsx", "JavaScript JSX", 0, 217, 0, 33, 26, 276
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/OrgDetailsGoalView/OrgDetailsGoalView.css", "CSS", 0, 0, 25, 3, 5, 33
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/OrgDetailsGoalView/OrgDetailsGoalView.jsx", "JavaScript JSX", 0, 72, 0, 11, 6, 89
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/OrgGroupInfo/OrgGroupInfo.css", "CSS", 0, 0, 43, 1, 7, 51
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/OrgGroupInfo/OrgGroupInfo.jsx", "JavaScript JSX", 0, 105, 0, 8, 6, 119
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/OrgNotesModal/OrgNotesModal.css", "CSS", 0, 0, 17, 2, 4, 23
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/OrgNotesModal/OrgNotesModal.jsx", "JavaScript JSX", 0, 103, 0, 15, 14, 132
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/OrgSellers/ActionButton.jsx", "JavaScript JSX", 0, 38, 0, 1, 3, 42
